"Year","Week","Percent of Deaths Due to Pneumonia and Influenza","Expected","Threshold","All Deaths","Pneumonia Deaths","Influenza Deaths"
2013,40,6.6179567085,6.36132,6.77011,47492,3140,3
2013,41,6.6527143582,6.45326,6.86185,47304,3135,12
2013,42,6.7791269274,6.55439,6.96279,47602,3216,11
2013,43,6.6225442969,6.66322,7.07142,47746,3151,11
2013,44,6.7306312401,6.77811,7.18613,48777,3271,12
2013,45,7.0414189093,6.89738,7.3052,48939,3429,17
2013,46,6.7497824283,7.01924,7.42687,49409,3320,15
2013,47,6.9730394628,7.1419,7.54933,49591,3430,28
2013,48,6.9347508521,7.26355,7.67079,49288,3385,33
2013,49,7.1557899709,7.38238,7.78943,50812,3594,42
2013,50,7.5682765005,7.49666,7.90351,51848,3856,68
2013,51,7.6577605237,7.60468,8.01135,52548,3917,107
2013,52,7.9859106132,7.70487,8.11134,51954,3942,207
2014,1,9.0830983022,7.79573,8.20201,53539,4512,351
2014,2,9.7810898929,7.87593,8.28201,55822,4999,461
2014,3,10.03700447,7.94428,8.35017,54588,5005,474
2014,4,9.6585762612,7.99977,8.40546,54097,4783,442
2014,5,9.2795730803,8.04157,8.44707,53968,4623,385
2014,6,8.9705662073,8.06905,8.47436,53408,4476,315
2014,7,8.6488093027,8.08179,8.48691,53834,4385,271
2014,8,7.9718261728,8.07959,8.48451,52673,3990,209
2014,9,7.793790502,8.06246,8.46718,51695,3868,161
2014,10,8.0149812734,8.03061,8.43515,52065,4048,125
2014,11,7.791530693,7.98451,8.38885,51787,3942,93
2014,12,7.6032607638,7.92477,8.32892,51399,3834,74
2014,13,7.5892155321,7.85226,8.25622,50888,3797,65
2014,14,7.6226222292,7.768,8.17176,50888,3824,55
2014,15,7.4983737754,7.67317,8.07674,50731,3730,74
2014,16,7.3103807407,7.56914,7.97251,49929,3595,55
2014,17,7.1160973655,7.45737,7.86055,49915,3498,54
2014,18,7.1320731928,7.33946,7.74245,49677,3490,53
2014,19,7.0554341347,7.21708,7.61988,50330,3512,39
2014,20,6.7773628987,7.09198,7.49458,47939,3222,27
2014,21,6.7190585912,6.96593,7.36833,48608,3242,24
2014,22,6.5489040186,6.84072,7.24293,48176,3140,15
2014,23,6.7793773016,6.71812,7.12014,47792,3220,20
2014,24,6.7664457869,6.59988,7.00171,47839,3222,15
2014,25,6.4765424839,6.48767,6.88931,47618,3077,7
2014,26,6.3230863235,6.38307,6.78451,47461,2998,3
2014,27,6.3370928639,6.28754,6.68879,47435,3000,6
2014,28,6.3025298591,6.20243,6.60349,47473,2988,4
2014,29,6.2462958259,6.12893,6.52979,47244,2944,7
2014,30,6.336012214,6.06804,6.46871,47159,2985,3
2014,31,6.2305826276,6.02061,6.42108,46994,2923,5
2014,32,6.0389141425,5.98727,6.38755,47078,2842,1
2014,33,6.1473305955,5.96845,6.36854,46752,2869,5
2014,34,6.1631536192,5.96439,6.36428,46778,2877,6
2014,35,6.0647622313,5.97507,6.37477,46663,2825,5
2014,36,6.2498683462,6.00031,6.39981,47473,2966,1
2014,37,6.1420876711,6.03967,6.43899,46971,2881,4
2014,38,6.2310220041,6.09255,6.49168,48082,2990,6
2014,39,6.24315896,6.15813,6.55706,48421,3017,6
2014,40,6.3701773973,6.23694,6.65537,48366,3075,6
2014,41,6.3816855754,6.33393,6.75197,49360,3142,8
2014,42,6.2918883789,6.44181,6.85947,49238,3085,13
2014,43,6.547655438,6.55892,6.97621,49071,3202,11
2014,44,6.4705042137,6.68349,7.10039,49007,3154,17
2014,45,6.3057062822,6.81363,7.23015,51049,3208,11
2014,46,6.4451038576,6.94736,7.3635,50550,3240,18
2014,47,6.4930615042,7.08268,7.49843,52533,3380,31
2014,48,6.6806771295,7.21754,7.63292,51866,3419,46
2014,49,7.0201713809,7.34994,7.76494,52748,3620,83
2014,50,7.3832020017,7.47788,7.8925,53554,3785,169
2014,51,8.0736699498,7.59945,8.01368,54622,4098,312
2014,52,8.5243092739,7.71283,8.12668,56028,4264,512
2014,53,10.191082803,7.81631,8.22978,59346,5034,1014
2015,1,10.811336032,7.90836,8.32144,61750,5576,1100
2015,2,10.746815365,7.98757,8.40028,61153,5589,983
2015,3,10.052350664,8.05277,8.4651,58643,5184,711
2015,4,9.5004538155,8.10296,8.5149,57292,4857,586
